definition,category,category_zh,age.75,age.50,age.25,age_rng,age.75.m,age.50.m,age.25.m,D
饅頭,food_drink,食物/飲料,32.935534591194966,27.228658536585368,22.289256198347108,8|36,32.638237833333335,27.977892916666665,23.317547166666667,0.2360979825
木瓜,food_drink,食物/飲料,32.63523131672598,28.127906976744185,22.52870090634441,8|36,32.68133133333333,28.182902416666668,23.684474,0.2446311525
土司,food_drink,食物/飲料,32.46052631578947,27.42016806722689,22.76086956521739,8|36,32.95236808333333,28.351099833333333,23.7498315,0.2391460775
花生,food_drink,食物/飲料,32.861486486486484,27.8130081300813,22.487465181058496,8|36,32.89237125,28.630527,24.368681916666667,0.2582444925
漢堡,food_drink,食物/飲料,32.626626192541195,28.305555555555557,23.46969696969697,8|36,32.71477183333333,28.883925083333335,25.053078833333334,0.28727442416666665
甜甜圈,food_drink,食物/飲料,34.25961538461539,29,23.50819672131147,8|36,32.9688435,28.9658965,24.962950916666667,0.27492877
汽水,food_drink,食物/飲料,34.56605049594229,27.644329896907216,22.76086956521739,8|36,33.3651225,29.044901333333332,24.724680916666667,0.25477676833333335
雞肉,food_drink,食物/飲料,32.67460317460318,28,23.12863070539419,8|36,33.69566433333333,29.322778666666668,24.94989208333333,0.25165497166666667
包子,food_drink,食物/飲料,32.82221480987325,27.709779179810724,22.789473684210527,8|36,34.216867,29.407738166666668,24.59861,0.22884722416666667
香腸,food_drink,食物/飲料,32.97754654983571,29.348148148148148,25.070048309178745,8|36,33.60445725,29.625826666666665,25.647196583333333,0.2766215375
櫻桃,food_drink,食物/飲料,40,27.883838383838384,22.532994923857867,8|36,34.70509466666667,29.671449583333334,24.637805666666665,0.2186902275
咖啡,food_drink,食物/飲料,32.918,30.21103117505995,23.83386075949367,8|36,34.19945083333333,29.812176333333333,25.424902083333333,0.25082690333333335
奶茶,food_drink,食物/飲料,35.55,30.085603112840467,25.394430051813472,8|36,34.105568833333336,29.963433333333334,25.821299083333333,0.26567281083333333
猴子,animals,動物,27.705128205128204,23.37125748502994,18.473684210526315,8|36,27.922537333333334,24.15419425,20.385854583333334,0.2919355025
老虎,animals,動物,28.46808510638298,23.37125748502994,19.09090909090909,8|36,28.417716916666667,24.181151833333335,19.944585916666668,0.25965791083333334
青蛙,animals,動物,27.76530612244898,22.897435897435894,19.75,8|36,28.667092916666668,24.494286333333335,20.321478166666665,0.263656565
螞蟻,animals,動物,27.76530612244898,22.84,18.857142857142858,8|36,28.7150695,24.68677325,20.658477666666666,0.2730844425
企鵝,animals,動物,28,23.399141630901287,19.8,8|36,28.83702925,24.7140715,20.591112166666665,0.26681602416666667
蚊子,animals,動物,27.752688172043012,24,19.666666666666668,8|36,28.719386416666666,24.81270616666667,20.90602833333333,0.28161107
小雞,animals,動物,28,23.63917525773196,19.75,8|36,29.239368666666667,25.040244333333334,20.841121,0.26199842083333336
老鼠,animals,動物,30.072368421052634,23.50819672131147,19,8|36,29.210239416666667,25.067495583333333,20.92475425,0.26556483833333333
烏龜,animals,動物,27.953815261044177,24.18151815181518,19.833333333333332,8|36,29.168979583333332,25.145813083333334,21.122646916666667,0.27341160666666664
長頸鹿,animals,動物,29.54272517321016,24.570934256055363,19.5,8|36,29.886387166666665,25.715663666666668,21.54494175,0.2637647458333333
蝦子,animals,動物,27.85089141004862,24.829903978052126,20.511627906976745,8|36,29.899354333333335,25.931996083333335,21.964636166666665,0.27735153083333336
獅子,animals,動物,30.072368421052634,24.63953488372093,21.266666666666666,8|36,30.785102583333334,26.107399916666665,21.429699833333334,0.23520634583333333
