definition,category,category_zh,age.75,age.50,age.25,n,age_distr_base,age_distr,age_distr_prob,age_rng
你們的,people,人物,40,32.72718631178707,29.233830845771145,373,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|1|1|0|1|0|4|5|5|6|12|21|24|19|34|35|32|46|40|45|42,0|0|0|0|0|0|0|0|0|1|1|0|1|0|4|5|4|5|14|23|24|22|36|40|39|54|52|56|52,8|36
他們,people,人物,40,32.861486486486484,29.124668435013263,362,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|0|2|0|1|0|4|4|4|8|12|18|21|21|31|35|32|44|38|47|40,0|0|0|0|0|0|0|0|0|0|2|0|1|0|4|4|3|7|14|20|21|24|33|40|39|52|49|58|49,8|36
司機,people,人物,40,32.873586844809864,28,369,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|0|0|0|0|2|6|6|9|11|15|12|25|28|30|35|31|44|37|40|38,0|0|0|0|0|0|0|0|0|0|0|0|0|2|6|6|7|10|17|13|25|32|32|40|38|52|48|49|47,8|36
郵差,people,人物,40,32.912017167381975,27.432098765432098,428,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|1|0|1|1|0|4|5|11|10|14|16|16|35|30|30|42|36|43|38|49|46,0|0|0|0|0|0|0|0|1|0|1|1|0|5|5|10|8|13|18|17|35|34|32|48|44|51|49|60|57,8|36
嬸嬸,people,人物,40,33.619856887298745,25.725,495,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|2|3|4|9|9|8|19|21|27|20|24|21|36|30|37|33|36|38|41|35|42,0|0|0|0|0|0|0|0|1|3|5|11|11|9|20|20|22|18|28|23|36|34|39|38|44|45|53|43|52,8|36
他們的,people,人物,40,34.31074168797954,29.49266247379455,332,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|0|1|0|1|0|5|2|5|5|10|18|21|17|29|31|25|41|37|44|40,0|0|0|0|0|0|0|0|0|0|1|0|1|0|5|2|4|5|11|20|21|19|31|35|30|48|48|54|49,8|36
先生,people,人物,40,40,29.561752988047807,313,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|0|0|2|1|1|3|8|8|8|7|14|20|19|26|28|30|37|31|34|36,0|0|0|0|0|0|0|0|0|0|0|2|1|1|3|8|6|7|8|15|20|22|28|32|37|44|40|42|44,8|36
褓母(奶媽),people,人物,40,40,29.604113110539846,349,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|4|3|3|8|5|5|9|5|5|9|8|16|14|15|18|15|17|27|28|21|26|32|29|27,0|0|0|0|0|5|4|3|5|6|6|11|6|6|9|8|13|13|17|20|15|19|29|32|26|31|42|36|33,8|36
再見(byebye),games_routines,遊戲/日常生活,17.835227272727273,13.40909090909091,11.357723577235772,2036,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,2|6|13|17|25|34|48|72|106|60|64|78|76|81|86|98|122|106|83|87|100|88|94|88|80|84|77|81|80,2|8|17|22|31|44|59|68|62|69|76|93|90|92|90|93|98|96|95|95|100|100|100|100|98|99|100|100|99,8|36
謝謝,games_routines,遊戲/日常生活,19.166666666666668,15.923244026068067,13.056016597510373,1859,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|1|4|8|9|19|29|38|87|51|57|62|68|80|86|100|118|104|81|87|100|87|92|87|81|85|76|81|81,0|1|5|10|11|24|36|36|51|59|68|74|81|91|90|95|95|95|93|95|100|99|98|99|99|100|99|100|100,8|36
