ID,item.WG,item.WS,definition,category,age.70,age.50,age.30,n,bin,age_distr,age_distr_prob
400,NA,a04_40,巧克力,food_drink,26.547272727272727,24.369645324735146,21.468488745980707,1012,24~30,0|0|0|0|0|0|0|0|0|6|5|8|12|23|32|47|52|65|56|62|72|68|70|75|70|78|65|78|68,0|0|0|0|0|0|0|0|0|7|6|10|15|26|34|47|44|61|67|72|75|83|84|90|92|94|90|99|92
83,d04_23,a04_23,冰淇淋,food_drink,27.626086956521736,24.767275097783575,22.215071283095725,965,24~30,0|0|0|0|1|0|0|2|3|9|4|7|12|20|25|42|54|55|47|59|68|65|67|74|63|78|65|77|68,0|0|0|0|1|0|0|2|2|11|5|9|15|23|27|42|45|51|57|69|71|79|81|89|83|94|90|97|92
402,NA,a04_42,薯條,food_drink,28.63076923076923,24.930974477958237,22.39752895752896,897,24~30,0|0|0|0|0|0|0|0|0|3|4|10|12|22|23|38|52|54|43|48|66|58|62|68|57|75|60|74|68,0|0|0|0|0|0|0|0|0|4|5|12|15|25|24|38|44|50|52|56|69|71|75|82|75|90|83|94|92
399,NA,a04_39,糖,food_drink,27.82635494155154,25.151829268292683,20.809302325581395,914,24~30,0|0|0|0|0|0|0|0|1|9|10|11|13|29|41|45|54|52|48|44|71|50|60|61|59|68|52|72|64,0|0|0|0|0|0|0|0|1|11|12|14|16|33|44|45|45|49|58|51|74|61|72|73|78|82|72|91|86
80,d04_20,a04_20,芭樂,food_drink,29.87801652892562,25.388253638253637,22.229731689630167,898,24~30,0|0|0|0|0|0|0|5|2|5|11|15|17|23|25|41|52|49|47|49|65|51|59|62|60|71|55|72|62,0|0|0|0|0|0|0|5|1|6|14|19|21|26|27|41|44|46|57|57|68|62|71|75|79|86|76|91|84
81,d04_21,a04_21,水果,food_drink,27.89113924050633,25.528403525954946,22.167088607594938,868,24~30,0|0|0|0|0|0|1|5|4|1|9|12|6|16|27|36|50|47|46|47|69|54|57|62|57|73|55|70|64,0|0|0|0|0|0|1|5|2|1|11|15|7|18|29|36|42|44|55|55|72|66|69|75|75|88|76|89|86
405,NA,a04_45,茶,food_drink,30.61,25.528403525954946,22.1321468298109,838,24~30,0|0|0|0|0|0|0|0|1|9|12|14|14|20|27|38|45|47|46|51|55|53|52|62|54|65|50|64|59,0|0|0|0|0|0|0|0|1|11|15|18|17|23|29|38|38|44|55|59|57|65|63|75|71|78|69|81|80
84,d04_24,a04_24,果汁,food_drink,28.729284164859003,25.844476744186046,21.650446428571428,929,24~30,0|0|0|0|0|0|1|4|4|5|7|11|12|23|30|42|56|50|42|52|59|60|59|70|64|74|61|76|67,0|0|0|0|0|0|1|4|2|6|9|14|15|26|32|42|47|47|51|60|61|73|71|84|84|89|85|96|91
437,NA,a04_77,橘子,food_drink,30.03333333333333,26.205741626794257,22.265994962216624,860,24~30,0|0|0|0|0|0|0|0|1|3|10|15|14|20|25|39|51|53|41|45|60|55|58|61|56|66|58|69|60,0|0|0|0|0|0|0|0|1|4|12|19|17|23|27|39|43|50|49|52|62|67|70|73|74|80|81|87|81
403,NA,a04_43,水餃,food_drink,29.56112676056338,26.538247566063976,22.936486486486487,802,24~30,0|0|0|0|0|0|0|0|0|0|5|6|2|15|24|30|42|40|37|47|60|55|60|62|60|70|49|74|64,0|0|0|0|0|0|0|0|0|0|6|8|2|17|26|30|35|37|45|55|62|67|72|75|79|84|68|94|86
